record_id,snapshot_month,restaurant_id,restaurant_name,city,neighborhood,cuisine_primary,cuisine_secondary,restaurant_type,price_range,avg_cost_for_two_usd,seating_capacity,delivery_available,family_friendly,alcohol_served,total_orders,dine_in_orders,delivery_orders,reservations_count,unique_customers,new_customers,repeat_customers,repeat_customer_rate_pct,total_reviews,avg_review_length_words,negative_review_share_pct,avg_food_rating,avg_service_rating,avg_ambience_rating,avg_value_rating,avg_cleanliness_rating,overall_rating,customer_satisfaction_score,nps,avg_wait_time_min,avg_delivery_time_min,on_time_delivery_rate_pct,complaint_rate_pct,discount_share_pct,ad_spend_usd,revenue_usd,revenue_per_customer_usd,month_over_month_revenue_growth_pct,rating_band,recommended_action
RST1001_202504,2025-04-01,RST1001,Urban Italian Kitchen,Abu Dhabi,Corniche,Italian,Pizza,Cafe,2,91.11,62,1,1,0,1063,563,500,60,842,623,219,26.03,69,23,27.67,3.84,4.15,3.93,4.03,4.04,3.98,86.7,4,19.1,23.9,92.53,4.18,13.37,3063.43,42938.2,51.0,1.2,Good,Investigate complaint drivers
RST1001_202505,2025-05-01,RST1001,Urban Italian Kitchen,Abu Dhabi,Corniche,Italian,Pizza,Cafe,2,91.11,62,1,1,0,966,364,602,60,714,517,197,27.67,65,33,25.81,4.28,3.49,3.62,3.99,4.0,3.9,86.4,4,20.0,35.2,79.32,5.16,11.87,2985.46,39234.59,54.95,-8.63,Good,Investigate complaint drivers
RST1001_202506,2025-06-01,RST1001,Urban Italian Kitchen,Abu Dhabi,Corniche,Italian,Pizza,Cafe,2,91.11,62,1,1,0,999,450,549,71,776,554,222,28.64,70,39,22.26,3.79,4.26,3.92,3.73,3.91,3.97,92.4,14,9.9,31.1,82.78,3.04,14.73,3341.24,40151.26,51.74,2.34,Good,Maintain and monitor
RST1001_202507,2025-07-01,RST1001,Urban Italian Kitchen,Abu Dhabi,Corniche,Italian,Pizza,Cafe,2,91.11,62,1,1,0,945,498,447,119,731,506,225,30.88,61,44,29.73,3.96,3.84,3.78,3.68,3.85,3.82,87.8,-7,13.5,37.2,81.48,4.42,9.93,2459.34,38654.85,52.88,-3.73,Good,Investigate complaint drivers
RST1001_202508,2025-08-01,RST1001,Urban Italian Kitchen,Abu Dhabi,Corniche,Italian,Pizza,Cafe,2,91.11,62,1,1,0,987,452,535,154,616,433,183,29.72,63,41,28.06,4.07,3.79,3.76,3.94,3.89,3.86,92.7,-5,16.3,24.6,95.85,3.15,10.04,2583.76,40355.37,65.51,4.4,Good,Investigate complaint drivers
RST1001_202509,2025-09-01,RST1001,Urban Italian Kitchen,Abu Dhabi,Corniche,Italian,Pizza,Cafe,2,91.11,62,1,1,0,852,389,463,44,611,455,156,25.68,51,20,28.56,3.73,3.87,3.96,3.68,3.72,3.85,88.9,10,10.9,34.5,81.51,3.8,13.67,2151.33,34377.37,56.26,-14.81,Good,Investigate complaint drivers
RST1001_202510,2025-10-01,RST1001,Urban Italian Kitchen,Abu Dhabi,Corniche,Italian,Pizza,Cafe,2,91.11,62,1,1,0,1007,446,561,146,648,459,189,29.3,64,31,29.55,3.89,3.85,3.88,4.04,4.05,3.91,89.5,-6,13.2,34.5,85.53,4.55,11.35,3076.65,40978.49,63.24,19.2,Good,Investigate complaint drivers
RST1001_202511,2025-11-01,RST1001,Urban Italian Kitchen,Abu Dhabi,Corniche,Italian,Pizza,Cafe,2,91.11,62,1,1,0,1068,428,640,137,673,458,215,31.98,74,38,26.75,3.97,3.83,4.05,3.57,4.24,3.91,92.8,-3,14.1,29.8,89.13,5.2,11.08,2209.04,43503.04,64.64,6.16,Good,Investigate complaint drivers
RST1001_202512,2025-12-01,RST1001,Urban Italian Kitchen,Abu Dhabi,Corniche,Italian,Pizza,Cafe,2,91.11,62,1,1,0,1116,472,644,118,846,571,275,32.53,79,29,25.22,3.92,3.76,3.74,3.81,4.15,3.85,91.2,3,15.3,34.0,78.68,4.29,14.99,2931.15,44810.9,52.97,3.01,Good,Investigate complaint drivers
RST1002_202501,2025-01-01,RST1002,Spice Mediterranean House,Sharjah,Al Khan,Mediterranean,Healthy,Casual Dining,2,55.01,132,1,0,0,824,431,393,154,663,482,181,27.42,48,30,27.28,3.91,3.55,3.5,3.95,3.77,3.84,87.8,-2,14.4,32.2,88.73,4.26,8.62,2745.2,20447.19,30.84,,Good,Investigate complaint drivers
RST1002_202502,2025-02-01,RST1002,Spice Mediterranean House,Sharjah,Al Khan,Mediterranean,Healthy,Casual Dining,2,55.01,132,1,0,0,713,320,393,64,505,369,136,26.97,42,38,33.39,3.38,3.42,3.92,3.67,3.47,3.44,77.5,-16,14.3,35.7,80.92,6.34,9.79,3206.29,17617.95,34.89,-13.84,Below Avg,Investigate complaint drivers
RST1002_202503,2025-03-01,RST1002,Spice Mediterranean House,Sharjah,Al Khan,Mediterranean,Healthy,Casual Dining,2,55.01,132,1,0,0,854,302,552,77,587,409,178,30.41,51,42,27.82,3.69,3.46,3.51,3.82,3.58,3.59,87.4,0,11.7,30.9,85.06,3.67,9.78,2861.27,21102.63,35.95,19.78,Good,Investigate complaint drivers
RST1002_202504,2025-04-01,RST1002,Spice Mediterranean House,Sharjah,Al Khan,Mediterranean,Healthy,Casual Dining,2,55.01,132,1,0,0,745,377,368,132,556,418,138,24.99,42,27,27.13,3.73,3.48,3.57,3.93,3.48,3.67,85.2,-9,16.0,29.0,92.01,4.48,11.63,1941.62,18285.69,32.89,-13.35,Good,Investigate complaint drivers
RST1002_202505,2025-05-01,RST1002,Spice Mediterranean House,Sharjah,Al Khan,Mediterranean,Healthy,Casual Dining,2,55.01,132,1,0,0,796,364,432,117,634,442,192,30.35,47,38,30.94,3.26,3.86,3.67,3.65,3.93,3.54,84.6,-7,8.9,34.6,78.14,3.96,9.3,2428.29,19703.3,31.08,7.75,Good,Investigate complaint drivers
RST1002_202506,2025-06-01,RST1002,Spice Mediterranean House,Sharjah,Al Khan,Mediterranean,Healthy,Casual Dining,2,55.01,132,1,0,0,819,408,411,145,599,450,149,24.93,53,32,27.6,3.55,3.66,3.34,3.92,3.69,3.62,83.1,-1,10.9,28.9,87.76,2.31,12.05,2386.75,20071.04,33.51,1.87,Good,Investigate complaint drivers
RST1002_202507,2025-07-01,RST1002,Spice Mediterranean House,Sharjah,Al Khan,Mediterranean,Healthy,Casual Dining,2,55.01,132,1,0,0,840,357,483,61,509,349,160,31.62,50,34,32.48,3.49,3.83,3.47,4.14,3.46,3.7,89.7,13,10.3,24.6,94.23,2.65,14.3,1917.49,20416.7,40.11,1.72,Good,Investigate complaint drivers
RST1002_202508,2025-08-01,RST1002,Spice Mediterranean House,Sharjah,Al Khan,Mediterranean,Healthy,Casual Dining,2,55.01,132,1,0,0,795,385,410,117,509,350,159,31.24,51,39,30.32,3.95,3.63,3.37,3.78,3.76,3.7,83.8,-1,11.8,35.1,84.68,4.76,12.92,2156.63,19421.21,38.16,-4.88,Good,Investigate complaint drivers
RST1002_202509,2025-09-01,RST1002,Spice Mediterranean House,Sharjah,Al Khan,Mediterranean,Healthy,Casual Dining,2,55.01,132,1,0,0,755,350,405,46,491,354,137,28.03,49,45,29.66,3.69,3.76,3.64,3.81,3.82,3.78,92.6,2,9.7,25.2,91.25,2.2,11.63,1976.4,18531.4,37.74,-4.58,Good,Investigate complaint drivers
RST1002_202510,2025-10-01,RST1002,Spice Mediterranean House,Sharjah,Al Khan,Mediterranean,Healthy,Casual Dining,2,55.01,132,1,0,0,781,404,377,52,540,407,133,24.78,53,30,27.42,3.77,3.38,3.87,4.18,3.68,3.69,84.0,5,17.6,32.9,82.06,4.34,10.46,2124.02,19250.83,35.65,3.88,Good,Improve service staffing/training
RST1002_202511,2025-11-01,RST1002,Spice Mediterranean House,Sharjah,Al Khan,Mediterranean,Healthy,Casual Dining,2,55.01,132,1,0,0,966,419,547,63,626,467,159,25.5,56,39,31.46,3.56,3.61,3.66,3.84,3.77,3.65,81.3,-1,13.8,30.5,86.04,4.87,10.34,2334.09,23822.05,38.05,23.75,Good,Investigate complaint drivers
RST1002_202512,2025-12-01,RST1002,Spice Mediterranean House,Sharjah,Al Khan,Mediterranean,Healthy,Casual Dining,2,55.01,132,1,0,0,872,373,499,89,594,429,165,27.92,50,45,29.33,3.53,3.41,3.69,3.85,3.57,3.68,81.6,-10,21.2,39.3,77.47,6.46,14.38,3275.65,21188.37,35.67,-11.06,Good,Investigate complaint drivers
RST1003_202501,2025-01-01,RST1003,Royal Indian Bistro,Doha,Msheireb,Indian,Biryani,Fine Dining,1,50.0,143,1,1,0,1135,584,551,202,720,464,256,35.68,79,38,23.72,4.37,4.19,4.16,4.27,4.22,4.33,100.0,29,16.3,43.0,70.97,5.9,12.74,2116.6,25218.63,35.03,,Very Good,Maintain and monitor
RST1003_202502,2025-02-01,RST1003,Royal Indian Bistro,Doha,Msheireb,Indian,Biryani,Fine Dining,1,50.0,143,1,1,0,1096,516,580,61,810,529,281,34.74,81,39,19.58,4.58,4.09,4.06,4.3,4.37,4.39,100.0,20,17.0,27.0,92.07,4.1,10.6,2740.46,24542.78,30.3,-2.68,Very Good,Maintain and monitor
RST1003_202503,2025-03-01,RST1003,Royal Indian Bistro,Doha,Msheireb,Indian,Biryani,Fine Dining,1,50.0,143,1,1,0,1121,526,595,92,834,592,242,29.02,78,36,29.07,4.09,3.74,4.1,4.03,4.55,3.92,91.0,7,11.8,33.5,81.26,3.9,8.95,1914.53,25253.23,30.28,2.89,Good,Improve service staffing/training
RST1003_202504,2025-04-01,RST1003,Royal Indian Bistro,Doha,Msheireb,Indian,Biryani,Fine Dining,1,50.0,143,1,1,0,1147,588,559,138,721,460,261,36.29,84,32,24.82,4.43,4.17,4.1,4.3,4.26,4.3,100.0,27,19.8,27.5,90.96,3.73,9.14,2262.77,25821.25,35.81,2.25,Very Good,Investigate complaint drivers
RST1003_202505,2025-05-01,RST1003,Royal Indian Bistro,Doha,Msheireb,Indian,Biryani,Fine Dining,1,50.0,143,1,1,0,1113,511,602,151,819,583,236,28.87,74,50,24.75,3.95,4.36,4.16,4.12,3.91,4.08,93.9,16,12.2,24.4,89.03,2.52,11.51,1970.44,24841.39,30.33,-3.79,Very Good,Investigate complaint drivers
RST1003_202506,2025-06-01,RST1003,Royal Indian Bistro,Doha,Msheireb,Indian,Biryani,Fine Dining,1,50.0,143,1,1,0,1220,592,628,194,823,548,275,33.47,92,40,21.77,4.42,4.12,3.91,4.31,4.48,4.24,97.6,17,16.3,30.9,92.02,5.32,12.4,2001.3,27141.16,32.98,9.26,Very Good,Maintain and monitor
RST1003_202507,2025-07-01,RST1003,Royal Indian Bistro,Doha,Msheireb,Indian,Biryani,Fine Dining,1,50.0,143,1,1,0,1152,518,634,157,911,641,270,29.65,78,44,19.77,4.54,4.22,4.03,4.27,4.59,4.35,100.0,21,13.9,30.9,83.08,4.48,12.45,2715.75,25623.4,28.13,-5.59,Very Good,Maintain and monitor
RST1003_202508,2025-08-01,RST1003,Royal Indian Bistro,Doha,Msheireb,Indian,Biryani,Fine Dining,1,50.0,143,1,1,0,1165,548,617,130,745,507,238,32.04,78,29,23.06,3.98,4.34,4.26,3.98,4.37,4.17,93.1,15,17.5,32.9,87.03,5.0,6.3,2634.05,26495.35,35.56,3.4,Very Good,Maintain and monitor
RST1003_202509,2025-09-01,RST1003,Royal Indian Bistro,Doha,Msheireb,Indian,Biryani,Fine Dining,1,50.0,143,1,1,0,1078,428,650,127,793,546,247,31.24,72,35,23.14,4.15,4.16,4.04,3.93,4.32,4.16,98.7,16,12.1,39.6,83.02,4.49,12.76,2462.96,23949.81,30.2,-9.61,Very Good,Maintain and monitor
RST1003_202510,2025-10-01,RST1003,Royal Indian Bistro,Doha,Msheireb,Indian,Biryani,Fine Dining,1,50.0,143,1,1,0,1185,561,624,160,829,618,211,25.51,101,38,23.17,4.23,4.25,4.01,4.16,4.38,4.06,94.6,13,13.9,33.4,86.01,4.85,9.89,1962.25,26603.91,32.09,11.08,Very Good,Maintain and monitor
RST1003_202511,2025-11-01,RST1003,Royal Indian Bistro,Doha,Msheireb,Indian,Biryani,Fine Dining,1,50.0,143,1,1,0,1293,627,666,177,887,603,284,32.09,95,35,20.84,4.67,4.07,4.06,4.45,4.33,4.41,100.0,28,14.6,36.3,81.95,3.95,12.64,2457.1,28739.2,32.4,8.03,Very Good,Maintain and monitor
RST1003_202512,2025-12-01,RST1003,Royal Indian Bistro,Doha,Msheireb,Indian,Biryani,Fine Dining,1,50.0,143,1,1,0,1262,581,681,171,847,584,263,31.12,75,52,19.41,4.4,4.06,4.26,4.18,4.36,4.25,100.0,15,9.1,39.7,75.25,3.5,9.35,2902.97,28388.0,33.52,-1.22,Very Good,Maintain and monitor
RST1004_202501,2025-01-01,RST1004,Harbor Thai Corner,Riyadh,Al Nakheel,Thai,Asian,Fine Dining,2,64.32,141,1,1,0,960,464,496,48,777,522,255,32.82,64,31,29.66,3.44,3.34,3.72,4.09,3.99,3.62,85.5,-5,5.0,30.0,88.1,2.68,10.49,2604.64,27664.98,35.6,,Good,Investigate complaint drivers
RST1004_202502,2025-02-01,RST1004,Harbor Thai Corner,Riyadh,Al Nakheel,Thai,Asian,Fine Dining,2,64.32,141,1,1,0,947,398,549,51,606,440,166,27.49,57,35,33.03,3.28,3.25,3.71,3.53,3.79,3.37,80.9,-18,19.6,32.5,85.32,4.81,13.1,2880.95,27031.26,44.61,-2.29,Below Avg,Investigate complaint drivers
RST1004_202503,2025-03-01,RST1004,Harbor Thai Corner,Riyadh,Al Nakheel,Thai,Asian,Fine Dining,2,64.32,141,1,1,0,921,397,524,86,719,518,201,27.98,51,37,30.76,3.49,3.36,3.31,4.01,3.65,3.4,79.9,-11,14.2,34.3,89.29,5.21,9.62,2831.28,26624.72,37.03,-1.5,Below Avg,Investigate complaint drivers
RST1004_202504,2025-04-01,RST1004,Harbor Thai Corner,Riyadh,Al Nakheel,Thai,Asian,Fine Dining,2,64.32,141,1,1,0,947,497,450,187,657,449,208,31.69,67,29,29.99,3.94,3.41,3.32,3.87,3.79,3.81,87.8,-6,13.4,31.8,85.1,4.46,11.59,2505.34,27181.2,41.37,2.09,Good,Investigate complaint drivers
RST1004_202505,2025-05-01,RST1004,Harbor Thai Corner,Riyadh,Al Nakheel,Thai,Asian,Fine Dining,2,64.32,141,1,1,0,937,493,444,57,658,472,186,28.32,62,33,29.76,3.65,3.69,3.21,3.85,3.42,3.68,85.5,-8,14.9,27.8,88.26,3.96,12.34,2174.27,26821.0,40.76,-1.33,Good,Investigate complaint drivers
RST1004_202506,2025-06-01,RST1004,Harbor Thai Corner,Riyadh,Al Nakheel,Thai,Asian,Fine Dining,2,64.32,141,1,1,0,1047,468,579,139,657,466,191,29.22,70,55,26.71,3.62,3.64,3.57,4.13,3.48,3.7,81.2,0,16.4,37.1,74.99,5.08,13.02,2321.3,29895.43,45.5,11.46,Good,Investigate complaint drivers
RST1004_202507,2025-07-01,RST1004,Harbor Thai Corner,Riyadh,Al Nakheel,Thai,Asian,Fine Dining,2,64.32,141,1,1,0,1095,496,599,146,698,529,169,24.24,68,38,31.62,3.75,3.41,3.59,3.87,3.63,3.59,83.0,-5,14.3,35.8,82.92,5.09,11.95,3101.91,31388.21,44.97,4.99,Good,Investigate complaint drivers
RST1004_202508,2025-08-01,RST1004,Harbor Thai Corner,Riyadh,Al Nakheel,Thai,Asian,Fine Dining,2,64.32,141,1,1,0,1008,384,624,61,702,509,193,27.57,57,36,31.57,3.49,3.59,3.64,3.73,3.56,3.61,82.8,-11,12.8,26.3,91.94,4.29,14.98,2895.58,28574.4,40.7,-8.96,Good,Investigate complaint drivers
RST1004_202509,2025-09-01,RST1004,Harbor Thai Corner,Riyadh,Al Nakheel,Thai,Asian,Fine Dining,2,64.32,141,1,1,0,1015,411,604,88,691,524,167,24.17,65,38,29.94,3.65,3.71,3.71,3.57,3.65,3.51,75.6,-9,14.6,32.5,78.18,5.18,10.91,2897.32,29205.8,42.27,2.21,Good,Investigate complaint drivers
RST1004_202510,2025-10-01,RST1004,Harbor Thai Corner,Riyadh,Al Nakheel,Thai,Asian,Fine Dining,2,64.32,141,1,1,0,991,523,468,167,676,515,161,23.94,46,34,32.36,3.61,3.54,3.39,3.71,3.83,3.51,79.3,2,10.1,32.2,84.03,3.48,15.65,3134.39,28022.91,41.45,-4.05,Good,Investigate complaint drivers
RST1004_202511,2025-11-01,RST1004,Harbor Thai Corner,Riyadh,Al Nakheel,Thai,Asian,Fine Dining,2,64.32,141,1,1,0,1068,475,593,49,657,489,168,25.71,58,45,30.98,3.65,3.3,3.63,3.69,3.88,3.66,85.1,-5,19.2,33.1,82.85,4.92,9.91,2933.48,30842.81,46.94,10.06,Good,Improve service staffing/training
RST1004_202512,2025-12-01,RST1004,Harbor Thai Corner,Riyadh,Al Nakheel,Thai,Asian,Fine Dining,2,64.32,141,1,1,0,1100,546,554,168,897,622,275,30.71,82,30,29.49,3.51,3.75,3.64,3.82,3.6,3.78,84.6,11,20.0,24.5,93.56,4.56,10.32,2279.5,31719.09,35.36,2.84,Good,Investigate complaint drivers
RST1005_202501,2025-01-01,RST1005,Olive Mexican Kitchen,Jeddah,Al Hamra,Mexican,Street Food,Cafe,1,37.95,83,1,1,0,966,463,503,131,744,532,212,28.6,60,40,30.87,3.67,3.36,3.43,4.01,3.75,3.56,86.0,-8,15.2,32.4,83.65,4.01,10.94,2638.2,16397.97,22.04,,Good,Investigate complaint drivers
RST1005_202502,2025-02-01,RST1005,Olive Mexican Kitchen,Jeddah,Al Hamra,Mexican,Street Food,Cafe,1,37.95,83,1,1,0,888,364,524,137,534,394,140,26.25,49,41,29.17,3.37,3.47,3.53,4.07,3.72,3.55,79.6,-16,24.4,35.0,80.87,6.7,13.18,3141.46,14951.34,28.0,-8.82,Good,Investigate complaint drivers
RST1005_202503,2025-03-01,RST1005,Olive Mexican Kitchen,Jeddah,Al Hamra,Mexican,Street Food,Cafe,1,37.95,83,1,1,0,905,442,463,89,741,553,188,25.44,64,34,30.92,3.5,3.62,3.44,3.98,3.63,3.53,78.0,0,13.5,30.8,90.0,4.01,9.16,1614.02,15461.98,20.87,3.42,Good,Investigate complaint drivers
RST1005_202504,2025-04-01,RST1005,Olive Mexican Kitchen,Jeddah,Al Hamra,Mexican,Street Food,Cafe,1,37.95,83,1,1,0,1006,440,566,131,713,469,244,34.23,63,37,28.0,4.02,3.86,3.67,4.24,3.86,3.97,91.2,9,14.7,31.0,83.93,4.13,11.61,2105.3,17035.34,23.89,10.18,Good,Investigate complaint drivers
RST1005_202505,2025-05-01,RST1005,Olive Mexican Kitchen,Jeddah,Al Hamra,Mexican,Street Food,Cafe,1,37.95,83,1,1,0,1015,543,472,109,650,435,215,33.18,64,29,29.54,3.84,3.59,3.42,3.88,3.91,3.66,90.2,-6,9.9,37.0,79.84,3.34,11.07,1724.85,17221.91,26.5,1.1,Good,Investigate complaint drivers
RST1005_202506,2025-06-01,RST1005,Olive Mexican Kitchen,Jeddah,Al Hamra,Mexican,Street Food,Cafe,1,37.95,83,1,1,0,992,505,487,85,803,648,155,19.41,54,33,32.58,3.3,3.28,3.54,3.7,3.88,3.41,72.0,-17,21.1,33.7,86.6,6.04,10.39,3007.02,16872.98,21.01,-2.03,Below Avg,Investigate complaint drivers
RST1005_202507,2025-07-01,RST1005,Olive Mexican Kitchen,Jeddah,Al Hamra,Mexican,Street Food,Cafe,1,37.95,83,1,1,0,909,428,481,159,638,507,131,20.58,46,41,30.06,3.42,3.48,3.19,3.81,3.59,3.49,72.0,-12,16.9,38.2,76.53,6.73,12.4,2905.8,15348.49,24.06,-9.04,Below Avg,Investigate complaint drivers
RST1005_202508,2025-08-01,RST1005,Olive Mexican Kitchen,Jeddah,Al Hamra,Mexican,Street Food,Cafe,1,37.95,83,1,1,0,812,340,472,82,603,456,147,24.44,49,50,33.13,3.61,3.28,2.96,4.02,3.51,3.49,77.0,-10,12.5,34.7,81.06,4.6,10.4,2177.51,13810.95,22.9,-10.02,Below Avg,Investigate complaint drivers
RST1005_202509,2025-09-01,RST1005,Olive Mexican Kitchen,Jeddah,Al Hamra,Mexican,Street Food,Cafe,1,37.95,83,1,1,0,899,398,501,147,692,463,229,33.13,57,38,30.11,3.71,3.48,3.43,4.46,3.4,3.69,88.8,8,12.8,32.5,83.46,3.37,15.75,2949.12,14993.84,21.67,8.56,Good,Investigate complaint drivers
RST1005_202510,2025-10-01,RST1005,Olive Mexican Kitchen,Jeddah,Al Hamra,Mexican,Street Food,Cafe,1,37.95,83,1,1,0,1082,451,631,108,669,479,190,28.49,69,56,30.22,3.77,3.42,3.39,3.86,3.53,3.63,86.3,0,10.6,36.2,78.12,4.41,12.86,2354.59,18239.16,27.26,21.64,Good,Investigate complaint drivers
RST1005_202511,2025-11-01,RST1005,Olive Mexican Kitchen,Jeddah,Al Hamra,Mexican,Street Food,Cafe,1,37.95,83,1,1,0,1056,541,515,108,740,545,195,26.4,73,35,29.07,3.64,3.39,3.49,4.16,3.58,3.54,79.9,-10,14.8,35.4,80.59,5.17,13.68,2680.6,17747.08,23.98,-2.7,Good,Investigate complaint drivers
RST1005_202512,2025-12-01,RST1005,Olive Mexican Kitchen,Jeddah,Al Hamra,Mexican,Street Food,Cafe,1,37.95,83,1,1,0,1016,480,536,57,760,519,241,31.77,57,51,28.85,3.74,3.58,3.39,4.05,3.81,3.66,82.6,-3,12.7,41.9,76.23,5.82,11.05,2760.19,17239.99,22.68,-2.86,Good,Investigate complaint drivers
